ID,Component,Brand Scope,Region Scope,Priority,Automatable,Description,Preconditions,Steps,Expected Result,Test Data,Linked Spec File,Notes
CT-016,Product Details,all,all,High,Partial,Sale product shows original price and discounted price in cart row,Cart has a sale-priced product,"1. Add sale product 2. Open /cart 3. Inspect product row",Both original (struck-through) and sale price visible in product row.,Sale product URL if available,tests/smoke/cart.spec.ts,@data-dependent — sale product may not be available at all times
CT-017,Responsive,all,all,High,Y,Cart is functional on mobile viewport and checkout CTA is accessible,"Mobile viewport 390×844; cart has product","1. Open /cart on mobile viewport 2. Scroll if needed 3. Locate checkout CTA",CTA visible; tapping navigates to /checkout.,—,tests/smoke/cart.spec.ts,—
CT-018,Coupon,all,all,Medium,Y,Coupon/promo code input field is visible on the cart page,Cart has product,1. Open /cart 2. Locate coupon/promo code field,"Coupon input field and Apply button visible.",—,tests/smoke/cart.spec.ts,—
CT-019,Product Nav,all,all,Medium,Y,Clicking product name or image in cart navigates to the product's PDP,Cart has product,"1. Open /cart 2. Click product image or name",URL changes to the product's PDP path.,—,tests/smoke/cart.spec.ts,—
CT-020,Persistence,all,all,Medium,Y,Guest cart contents persist after page refresh,Guest user; product in cart,"1. Open /cart 2. Note items 3. Refresh page 4. Check cart contents",Same products remain in cart after refresh.,—,tests/smoke/cart.spec.ts,—
CT-021,Persistence,all,all,Medium,Y,Guest cart contents persist after navigating away and returning,Guest user; product in cart,"1. Add product 2. Navigate to homepage 3. Navigate back to /cart",Cart contents unchanged.,—,tests/smoke/cart.spec.ts,—
CT-022,Payment Msg,all,all,Medium,Y,Afterpay payment messaging is visible on cart page for eligible cart total,Cart has product with total eligible for Afterpay; brand has payment messaging enabled,"1. Add product 2. Open /cart 3. Inspect payment messaging area",Payment messaging (Afterpay or similar) visible and non-empty.,—,tests/smoke/cart.spec.ts,Skechers disables this — validated in CT-skx-001; Vans shows additional PayPal options — see CT-van-002
CT-023,Coupon,all,all,Medium,Partial,Removing an applied coupon reverts cart total to pre-discount amount,Valid coupon already applied to cart,"1. Open /cart with coupon applied 2. Click Remove coupon",Discount line disappears; cart total reverts to undiscounted amount.,Coupon code from testData,tests/smoke/cart.spec.ts,@data-dependent — requires valid coupon from testData
CT-024,Analytics,all,all,Low,Partial,Removing a product from cart fires a dataLayer remove-from-cart event,Analytics tools available; cart has product,"1. Intercept dataLayer.push 2. Remove product from cart 3. Read captured events",At least one event matching /remove|cart_update|remove_from_cart/i is captured.,—,tests/smoke/cart.spec.ts,Partial — verifies event fires; payload schema not validated
CT-drm-001,Terminology,drm,all,High,Y,Dr. Martens cart page uses 'Bag' terminology not 'Cart' or 'Basket',Dr. Martens project; cart has product,"1. Open /cart 2. Inspect page heading and primary CTAs","Heading or CTA text matches /bag/i (e.g. 'My Bag'). Does NOT contain standalone word 'cart' or 'basket'.",—,tests/smoke/cart.spec.ts,Consistent with DRM brand terminology; pairs with MC-drm-001 for mini-cart
CT-van-001,Loyalty,van,all,High,Y,Vans cart displays Qantas QFF / PlatyPoints loyalty section,Vans project; cart has product,"1. Add product 2. Open /cart 3. Inspect cart summary area for loyalty messaging",Loyalty section visible and non-empty (mentions Qantas points or PlatyPoints).,—,tests/smoke/cart.spec.ts,PlatyPointsSummaryFragment is the component; non-members may see an opt-in prompt
CT-van-002,Payment Msg,van,all,Medium,Y,Vans cart payment messaging mentions PayPal as a payment option,Vans project; cart has eligible product,"1. Add product 2. Open /cart 3. Inspect payment messaging",Messaging contains /paypal|pay in 4|braintree/i.,—,tests/smoke/cart.spec.ts,Vans supports Afterpay + Braintree CC + PayPal + PayPal Pay-in-4
CT-skx-001,Payment Msg,skx,all,High,Y,Skechers cart does NOT display Afterpay messaging,Skechers project; cart has product,"1. Add product 2. Open /cart 3. Inspect entire cart body",Cart body text does NOT contain /afterpay|after pay|4 payments|installments/i.,—,tests/smoke/cart.spec.ts,miniCartPaymentMessaging=false for Skechers — same flag as MC-skx-001
